,NACE,,Marion Park,Park,,,,,
,APCO,,Appomattox Court House,National Historical Park,,,2006/01/04,Lands - http://landsnet.nps.gov/tractsnet/documents/APCO/Metadata/apco_metadata.xml,
,ORPI,,Organ Pipe Cactus,National Monument,,,2007/07/10,Lands - http://landsnet.nps.gov/tractsnet/documents/ORPI/Metadata/orpi_metadata.xml,
,PINN,,Pinnacles,National Monument,,,,Shifted 0.06 miles,
,TUIN,,Tuskegee Institute,National Historical Site,,,,Good,
,GLAC,,Glacier,National Park,,,2006/03/09,POC for this update:  richard_menicke@nps.gov - http://landsnet.nps.gov/tractsnet/documents/GLAC/Metadata/glac_metadata.xml,
,CEBR,,Cedar Breaks,National Monument,,,2006/04/18,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBR/Metadata/cebr_metadata.xml,
,NACA,,National Capital Parks,Park,,,2006/06/15,Lands,
,INDU,,Indiana Dunes,National Lakeshore,,,2007/06/07,Lands - http://landsnet.nps.gov/tractsnet/documents/INDU/Metadata/indu_metadata.xml,
,CANY,,Canyonlands,National Park,,,,Shifted 0.04 miles,
,GLBA,,Glacier Bay,National Preserve,,,2008/01/08,Lands,
,RRBH,,Ronald Reagan Boyhood Home,National Historic Site,,,2006/11/16,Lands - http://landsnet.nps.gov/tractsnet/documents/RRBH/Metadata/rrbh_metadata.xml,
,GLBA,,Glacier Bay,Park & Wilderness,,,2008/01/08,Lands,
,FOUS,,Fort Union Trading Post,National Historic Site,,,2008/07/01,Lands - http://landsnet.nps.gov/tractsnet/documents/FOUS/Metadata/fous_metadata.xml,
,ULSG,,Ulysses S. Grant,National Historic Site,,,2008/07/01,Lands - http://landsnet.nps.gov/tractsnet/documents/ULSG/Metadata/ulsg_metadata.xml,
,UPDE,,Upper Delaware,Scenic and Recreational River,,,2006/06/06,POC for this update:  leslie_morlock@nps.gov - http://landsnet.nps.gov/tractsnet/documents/UPDE/Metadata/upde_metadata.xml,
,MALW,,Maggie L. Walker,National Historic Site,,,,Good,
,MABI,,Marsh-Billings-Rockefeller,National Historical Park,,,,Shifted 0.02 miles,
,GLBA,,Glacier Bay,Park & Wilderness - Water,,,2008/01/08,Lands,
,SAPA,,Saint Paul's Church,National Historic Site,,,2007/02/09,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,
,FEHA,,Federal Hall,National Memorial,,,2007/02/16,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,
,CACL,,Castle Clinton,National Monument,,,2007/02/16,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,
,INPE,,International Peace Garden,,,,,Good  (copied from Dean's),
,FOUN,,Fort Union,National Monument,,,2007/05/15,Lands - http://landsnet.nps.gov/tractsnet/documents/FOUN/Metadata/foun_metadata.xml,
,NACC,,Park - C Street,Park,,,,,
,LACL,,Lake Clark,Park & Wilderness,,,2008/01/08,Lands,
,PIPE,,Pipestone,National Monument,,,2007/05/07,Lands - http://landsnet.nps.gov/tractsnet/documents/PIPE/Metadata/pipe_metadata.xml,
,CHCH,,Chickamauga and Chattanooga,National Military Park,,,,Good,
,SITK,,Sitka,National Historical Park,,,2008/01/08,Lands,
,COLO,,Colonial,National Historical Park,,,,"Many small differences, especially east end of main poly",
,BLUE,,Bluestone,National Scenic River,,,,Shifted 0.02-0.08 mi.; several discrepancies,
,NOCA,,North Cascades,National Park,,,,Shifted 0.06 miles,
,MORU,,Mount Rushmore,National Memorial,,,2007/10/24,Lands - http://landsnet.nps.gov/tractsnet/documents/MORU/Metadata/moru_metadata.xml,
,GLBA,,Glacier Bay,Park - Water,,,2008/01/08,Lands,
,KATM,,Katmai,National Preserve,,,2008/01/08,Lands,
,KATM,,Katmai,Preserve & Wilderness,,,2008/01/08,Lands,
,KOVA,,Kobuk Valley,National Park,,,2008/01/08,Lands,
,KOVA,,Kobuk Valley,Park & Wilderness,,,2008/01/08,Lands,
,LACL,,Lake Clark,National Park,,,2008/01/08,Lands,
,GWCA,,George Washington Carver,National Monument,,,2008/04/21,Lands - http://landsnet.nps.gov/tractsnet/documents/GWCA/Metadata/gwca_metadata.xml,
,YUCH,,Yukon-Charley Rivers,Navigable Rivers - State Owned,,,2008/01/08,Lands,
,FOFR,,Fort Frederica,National Monument,,,2007/12/05,Lands - http://landsnet.nps.gov/tractsnet/documents/FOFR/Metadata/fofr_metadata.xml,
,ZION,,Zion,National Park,,,2008/01/16,Lands - http://landsnet.nps.gov/tractsnet/documents/ZION/Metadata/zion_metadata.xml,
,LACL,,Lake Clark,Preserve & Wilderness,,,2008/01/08,Lands,
,NOAT,,Noatak,National Preserve,,,2008/01/08,Lands,
,NOAT,,Noatak,Preserve & Wilderness,,,2008/01/08,Lands,
,PAAL,,Palo Alto Battlefield,National Historic Site,,,2008/01/31,Lands - http://landsnet.nps.gov/tractsnet/documents/PAAL/Metadata/paal_metadata.xml,
,NACC,,Truxton Park,Park,,,,,
,THRB,,Theodore Roosevelt Birthplace,National Historic Site,,,2007/01/23,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,
,HAGR,,Hamilton Grange,National Memorial,,,2007/02/05,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,
,WRST,,Wrangell-St. Elias,National Park,,,2008/01/08,Lands,
,WRST,,Wrangell-St. Elias,National Preserve,,,2008/01/08,Lands,
,WRST,,Wrangell-St. Elias,Preserve & Wilderness,,,2008/01/08,Lands,
,YUCH,,Yukon-Charley Rivers,National Preserve,,,2008/01/08,Lands,
,ROCR,,Woodley Park,Park,,,,,
,ROCR,,Fort Stevens Park,Park,,,,,
,WRST,,Wrangell-St. Elias,Park & Wilderness,,,2008/01/08,Lands,
,PISC,,Piscataway,Park,,,2008/01/18,Lands - http://landsnet.nps.gov/tractsnet/documents/PISC/Metadata/pisc_metadata.xml,
,CAVO,,Capulin Volcano,National Monument,,,2004/07/22,Lands - http://landsnet.nps.gov/tractsnet/documents/CAVO/Metadata/cavo_metadata.xml,
,AFBG,,African Burial Ground,National Monument,,,2008/08/19,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,
,NACC,,Murrow (Edward R.) Park,Park,,,,,
,GLDE,,Gloria Dei (Old Swedes') Church,National Historic Site,,,,Shifted 0.02 miles; Distinct differences,
,WRBR,,Wright Brothers,National Memorial,,,,Good,
,CHSC,,Little Rock Central High School,National Historic Site,,,2006/11/01,Lands - http://landsnet.nps.gov/tractsnet/documents/CHSC/Metadata/chsc_metadata.xml,
,KATM,,Katmai,National Park,,,2008/01/08,Lands,
,KEFJ,,Kenai Fjords,National Park,,,2008/01/08,Lands,
,BADL,,Badlands,National Park,,,2008/02/27,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,
,OBRI,,Obed,Wild and Scenic River,,,,Good,
,ROCR,,Potomac Palisades Parkway,Park,,,,,
,TIMU,,Timucaun Ecological and Historical Preserve,Ecological and Historical Preserve,,,,Good,
,VICK,,Vicksburg,National Military Park,,,,"Main polys good, but overlap with VICC",
,NACC,,West Potomac Park,Park,,,,,
,BUFF,,Buffalo,National River,,,2005/04/14,Lands - http://landsnet.nps.gov/tractsnet/documents/BUFF/Metadata/buff_metadata.xml,
,GOSP,,Golden Spike,National Historic Site,,,,Shifted 0.04 miles,
,SAPU,,Salinas Pueblo Missions,National Monument,,,,Shifted 0.03 miles,
,FRED,,Fredericksburg,,,,,Good (copied from Dean's),
,FRSP,,Fredericksburg and Spotsylvania,National Military Park,,,,Many differences,
,NATR,,Natchez Trace Parkway and National Scenic Trail,,,,,Good,
,NACC,,Thomas Circle,Park,,,,,
,KATM,,Katmai,Park & Wilderness,,,2008/01/08,Lands,
,LACL,,Lake Clark,National Preserve,,,2008/01/08,Lands,
,ROCR,,Fort Totten Park,Park,,,,,
,SACR,,Saint Croix Island,International Historic Site,,,,Shift 0.03 mi.,
,GRTE,,Grand Teton,National Park,,,,Shifted 0.04 miles,
,WRBR,,Wright Brothers,National Memorial,,,,Good,
,ORCA,,Oregon Caves,National Monument,,,,Shifted 0.07 miles,
,FOSC,,Fort Scott,National Historic Site,,,,Significant differences in shape and location,
,ROCR,,Fort Slocum Park,Park,,,,,
,NACE,,Fort Stanton Park,Park,,,,,
,NACE,,Randle Circle,Park,,,,,
,NACC,,Rawlins Park,Park,,,,,
,REDW,,Redwood,National Park,,,,Shifted 0.06 miles,
,RICH,,Richmond,National Battlefield Park,,,,Major discrepanceis in east unit; one unit missing from Dave's set,
,ROCR,,Rock Creek & Potomac Parkway,Park,,,,,
,ROCR,,Rock Creek Park,,,,,,
,ROMO,,Rocky Mountain,National Park,,,,Shifted 0.03 miles,
,TUPE,,Tupelo,National Battlefield,,,2005/10/13,Lands - http://landsnet.nps.gov/tractsnet/documents/TUPE/Metadata/tupe_metadata.xml,
,BRCR,,Brices Cross Roads,National Battlefield Site,,,2005/10/13,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCR/Metadata/brcr_metadata.xml,
,FOST,,Fort Stanwix,National Monument,,,,Shift 0.02 mi.,
,ROWI,,Roger Williams,National Memorial,,,,Shift 0.03 mi.,
,SAMO,,Santa Monica Mountains,National Recreation Area,,,2005/10/18,Lands,
,ILMI,,Illinois and Michigan Canal,National Heritage Corridor,,,,Good,
,GRSM,,Great Smoky Mountains,National Park,,,,Good,
,LOWE,,Lowell,National Historical Park,,,,Shifted 0.03 miles,
,GUIS,,Gulf Islands,National Seashore,,,,Good,
,JOFI,,John Fitzgerald Kennedy,National Historic Site,,,,Shifted 0.03 miles,
,JOFK,,John F. Kennedy Center for Performing Arts,,,,,Good  (copied from Dean's),
,THIS,,Theodore Roosevelt Island,National Memorial,,,2005/05/31,Lands - http://landsnet.nps.gov/tractsnet/documents/THIS/Metadata/this_metadata.xml,
,TONT,,Tonto,National Monument,,,2006/02/23,Lands - http://landsnet.nps.gov/tractsnet/documents/TONT/Metadata/tont_metadata.xml,
,NACC,,Pennsylvania Avenue NHS,Park,,,,,
,TICA,,Timpanogos Cave,National Monument,,,2005/04/14,Lands,
,NATC,,Natchez,National Historical Park,,,2005/04/20,Lands - http://landsnet.nps.gov/tractsnet/documents/NATC/Metadata/natc_metadata.xml,
,DENA,,Denali,National Preserve,,,2008/01/08,Lands,
,MANZ,,Manzanar,National Historic Site,,,2008/03/04,Lands - http://landsnet.nps.gov/tractsnet/documents/MANZ/Metadata/manz_metadata.xml,
,CHCU,,Chaco Culture,National Historical Park,,,2007/08/24,POC for this update:  brad_shattuck@nps.gov - http://landsnet.nps.gov/tractsnet/documents/CHCU/Metadata/chcu_metadata.xml,
,FOTH,,Ford's Theatre,National Historic Site,,,2006/09/21,Lands - http://landsnet.nps.gov/tractsnet/documents/FOTH/Metadata/foth_metadata.xml,
,OZAR,,Ozark,National Scenic Riverway,,,2006/03/23,Lands - http://landsnet.nps.gov/tractsnet/documents/OZAR/Metadata/ozar_metadata.xml,
,JOTR,,Joshua Tree,National Park,,,2006/10/25,Lands,
,SAND,,Sand Creek Massacre,National Historic Site,,,2003/07/17,Lands - http://landsnet.nps.gov/tractsnet/documents/SAND/Metadata/sand_metadata.xml,
,CUGA,,Cumberland Gap,National Historical Park,,,2005/07/12,Lands - http://landsnet.nps.gov/tractsnet/documents/CUGA/Metadata/cuga_metadata.xml,
